ESTUDIO;PONDERADOR;REGION_DEF;F0;A_EXACTA;A_RANGO;F3_SEXO;N_HOGAR;N_AFILIADOS;SEXO_1;EDAD_1;AFI_1;SEXO_2;EDAD_2;AFI_2;SEXO_3;EDAD_3;AFI_3;SEXO_4;EDAD_4;AFI_4;SEXO_5;EDAD_5;AFI_5;SEXO_6;EDAD_6;AFI_6;SEXO_7;EDAD_7;AFI_7;SEXO_8;EDAD_8;AFI_8;SEXO_9;EDAD_9;AFI_9;SEXO_10;EDAD_10;AFI_10;SELECCION;P2;P3;P4;P5;P6;A1;A2;A2_COD_1;A2_COD_2;A2_COD_3;A2_COD_4;A2_COD_5;A3;A4;A4_COD_11;A4_COD_21;A4_COD_3;A4_COD_4;A4_COD_5;A4_COD_1_1;A4_COD_1_2;A4_COD_1_3;A4_COD_1_4;A4_COD_1_5;A4_COD_2_1;A4_COD_2_2;A4_COD_2_3;A4_COD_2_4;A4_COD_2_5;A5;A6;A7_1;A7_2;A8;A9_1;A9_2;A9_3;A9_4;A9_5;A9_6;A9_7;A10_1;A10_OTRO1;A10_2;A10_OTRO1_1;A11_1;A11_OTRO1;A11_2;A11_OTRO2;A12_1;A12_OTRO1;A12_2;A12_OTRO2;A13_1;A13_OTRO1;A13_2;A13_OTRO2;A14;A15;A_15_COD_1;A_15_COD_2;A_15_COD_3;A_15_COD_4;A_15_COD_5;B1;B2;B3_1;B3_2;B3_OTRO;B3A;B4;B5;B6;B6_OTRO;B7;B9A;B9B;B9C;B10_1;B10_2;B10_3;B10_4;B10_5;B10_6;B12;B13;B14;B14_1;B14_2;B14_1_1;B14_2_1;B14_TOTAL;B14_TOTAL_1;C1;C4;C5_1;C5_2;C5_3;C5_OTRO;C6;C8_1;C8_2;C8_3;C8_4;C8_5;C8_6;D1;D2;D2_OTRO;D3_11;D3_21;D3_31;D3_41;D3_1;D3_2;D3_3;D3_4;D3_1_1;D3_2_1;D3_3_1;D3_4_1;D3_TOTAL;D3_TOTAL_1;D4;D5_1;D5_2;D6_1;D6_OTRO1;D6_2;D6_OTRO2;D7;D7_OTRO;D8;D8_1;D10;D10_1;D10_2;D10_1_1;D10_2_1;D10_TOTAL;D10_TOTAL_1;D13_1;D13_2;D14;D15;D16;D17;E1;E1_OTRO;E10;E10_OTRO;E11;E11_OTRO;E2;E2_OTRO;E3;E3_OTRO;E4;E5;E5_OTRO_1;E6;E8_1;E8_2;E8_3;E8_4;E8_5;E8_6;E8_7;E8_8;E8_9;E8_10;E8_11;E9;E9_1;E9_1_COD_1;E9_1_COD_2;E9_1_COD_3;E12_1;E12_2;E12_3;E13;E13_1;E13_1_COD_1;E13_1_COD_2;E13_1_COD_3;E13_1_COD_4;E14;E15_1_1;E15_1_2;E15_1_3;E15_1_4;E15_1_5;E15_1_6;E15_1_7;E15_1_8;E15_2_1;E15_2_2;E15_2_3;E15_2_4;E15_2_5;E15_2_6;E15_3_1;E15_3_2;E15_3_3;E15_3_4;E15_3_5;E15_3_6;E15_4_1;E15_4_2;E15_4_3;E15_4_4;E15_4_5;E15_5_1;E15_5_2;E15_5_3;E15_5_4;E15_5_5;E15_6_1;E15_6_2;E15_6_3;E15_6_4;E15_6_5;E15_6_6;E15_7_1;E15_7_2;E15_7_3;E15_7_4;E15_7_5;E15_7_6;E15_7_7;E15_8_1;E15_8_2;E15_8_3;E15_8_4;E15_8_5;E15_8_6;E15_8_7;E15_9_1;E15_9_2;E15_9_3;E15_9_4;F1;F1_1;F2;F3;F4_LITERAL;F4_COD_1_1;F4_COD_1_2;F5;F7;CAB_EDAD;CAB_SEXO;CAB_REGION;FECHA;EQUILIBRAR_FONASA_1;REGION_TIPO_FONASA;C_81;C_82;C_83;C_84;C_85;C_86;A3_logit;A1_dico;A5_dico;A7_1dico;A7_2dico;A14_dico;C4_dico;B2_dico;a10_bajoscostos;a11_espera;a11_sinespecialistas;a12_cobertura;a13_costos;C6_rec;filter_$;PredictedValue;PredictedValue_1
15516_SALUD_VF;1,459851939;13;1;71;3;2;2;2;2;71;1;1;69;1; ; ; ; ; ; ; ; ; ;1;07-10-48;1;2;1;2;1;todo es burocracia ,todo es muy engorroso,se demoran en las horas,;113;23; ; ; ;1;tengo catarata ,y me dijeron que no cumple con los requisitos para operarme;81; ; ; ;81; ; ; ;81; ; ; ;1;3;1;1;1;1;2;2;2;1;2;2;7;-;2;-;3;-;6;-;-;-;-;-;1;no recibo informacion;21; ;3; ;-;-;2;7;98;-;4;8;8;8;8;8;8;1;1;-;98;98;98;98;2;-;9;-;2;-;77;1;3;2;2;98;-;98;-;98;-;5;-;-;-;1;1;1;1;1;1;1;1;1;1;1;88;-; ;98; ;88;-; ; ;98;98; ; ; ; ;98; ; ; ;98; ; ; ;98; ; ;98; ; ;98; ; ; ; ;98; ; ; ; ;98; ; ; ;98; ;12;27;2;-;9;3;2;2;1;32;32;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_REGIONES;0,248394452;9;1;63;3;1;3;2;1;63;2;2;57;2; ; ; ; ; ; ; ; ; ;1;10-12-55;2;1;2;7;-; ; ; ;7;porque tengo una buena cobertura;271; ; ; ;271; ; ; ;271; ; ; ;6;2;6;5;2;-;-;-;-;5;-;7;-;100;-;5;-;6;bajar los costos de los planes;62; ;2;6;3; ;-;3;4;-;3;-;4;4;4;3;3;2;4;2;-;-;-;5;-;77;1;7;1;1;4;-;5;-;7;-;5;-;4;-;2;-;6;6;6;6;6;6;6;6;6;6;6;1;fiscalizar que se hagan bien las cosas;341; ;4; ;1;el cumplimiento de una buena atencion;501; ; ;5;1;2;3;4;5;6; ; ;8; ; ; ;9; ; ; ;8; ; ;8; ; ;4;5; ; ; ; ;8; ; ; ; ;3; ; ; ;8; ;16;32;1;5;Profesor;4;181;9;9;3;1;1;2;89;1;1;0;0;0;1;1;1;1;1;0;1;0;1;0;0;0;0;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_REGIONES;1,564129379;2;1;68;3;1;2;1;1;68;1; ; ; ; ; ; ; ; ; ;1;29-10-50;1;98;1;2;1;porque no apirta nadamucha inegligencia;26; ; ; ;1;no apirra en bada;98; ; ; ;98; ; ; ;98; ; ; ;1;3;1;2;1;1;1;1;2;2;2;2;100;-;100;-;1;-;4;-;-;-;-;-;1;no le mandan informacion;21; ;2;7;5; ;-;3;1;1;-;2;1;1;1;2;1;1;3;98;3;-;98;9;9;9;9;9;9;2;-;-;-;1;-;77;1;7;1;1;2;-;5;-;8;-;5;-;-;-;1;1;1;1;1;1;1;1;1;1;1;88;-; ;4; ;1;#NOMBRE?;98; ; ;2;2; ; ; ; ;2; ; ; ;9; ; ; ;98; ; ;9; ; ;9; ; ; ; ;9; ; ; ; ;2;1;6; ; ; ;9; ;9;18;2;-;9;3;1;1;1;67;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_VF;1,459851939;13;1;39;2;2;4;3;1;45;1;2;39;1;1;35;1; ; ; ; ; ; ; ; ; ;2;12-07-80;1;2;1;2;1;no me gusta el sistema ,es caro, las lista de espera;84;111;1; ; ;1;mucha burocracia ,poca equidad social en relacion a las atenciones de salud;25; ; ; ;25; ; ; ;25; ; ; ;98;2;8;8;2;1;-;7;-;3;-;4;-;-;-;-;-;1;no me llega informacion;21; ;3; ;-;-;3;-;4;8;8;8;8;8;8;1;6;-;5;2;7;7;2;-;8;-;1;-;77;2;4;-;5;-;5;-;9;-;-;-;7;7;3;2;2;6;5;8;2;8;2;1;regularizar los problemas de vulneracion de derechos de los pacientes;312;334; ;4; ;1;derecho a la atencion;502; ; ;7;2; ; ; ; ;9; ; ; ;9; ; ; ;4; ; ;9; ; ;9; ; ; ; ;9; ; ; ; ;9; ; ; ;7; ;14;28;2;-;9;2;2;2;1;32;32;0;0;0;0;0;1;0;1;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_REGIONES;0,248394452;9;1;55;3;1;2;2;1;55;2;2;50;1; ; ; ; ; ; ; ; ; ;1;10-12-63;2;1;2;6;-; ; ; ;6;porque tengo muy buena cobertura;271; ; ; ;271; ; ; ;271; ; ; ;7;2;6;6;1;2;2;2;2;2;2;2;-;-;-;-;4;-;5;-;9;-;1;-;6;No subir tanto los pkanes;62; ;2;5;3; ;-;2;4;-;3;-;4;8;8;8;8;8;3;2;-;-;-;5;-;77;1;7;1;1;4;-;5;-;5;-;5;-;4;-;2;-;5;5;5;5;6;5;4;5;5;5;4;1;vigila y controla el sistema de salud en chile;343; ;1;2; ;1;los derechos de los ciudadanos que no se pase a llevar los derechos que se tienen;531; ; ;7;2;1;6; ; ; ; ;4;5;6; ; ; ;4; ; ; ;4; ; ;4;5; ; ;4;5; ; ; ; ;98; ; ; ; ;8; ; ; ;98; ;15;30;1;2;Administrativo;4;7;9;9;3;1;1;2;89;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_REGIONES;3,995894753;6;1;73;3;2;2;2;2;73;1;2;31;1; ; ; ; ; ; ; ; ; ;1;22-08-46;1;2;1;2;1;El tiempo de espera es mucho en el sistema p˙blico y para dar hora se demoran mucho Para las interconsultas mÌnimo se demoran mÌnimo un aÒo;82;23; ; ; ;1;No le sirve el sistema a los jubilados;111; ; ; ;111; ; ; ;111; ; ; ;1;3;1;1;1;2;2;1;2;1;2;2;2;-;6;-;9;-;99;-;-;-;-;-;5;Ella cree m·s que merece un cambio el sistema de salud p˙blica;96; ;2;5;6; ;-;3;4;-;3;-;4;8;8;8;8;8;8;2;-;-;-;5;-;77;1;6;98;1;98;-;5;-;5;-;2;-;-;-;1;9;9;9;4;9;9;9;9;9;9;1;Regular las negligencias de cualquier tipo;341; ;4; ;1;Ser atendido a un cobro justo;562; ; ;2;2; ; ; ; ;99; ; ; ;9; ; ; ;98; ; ;9; ; ;9; ; ; ; ;2; ; ; ; ;2; ; ; ;9; ;8;25;2;-;9;3;2;1;2;22;23;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_VF;1,564129379;13;1;52;2;2;5;2;1;58;1;2;52;1; ; ; ; ; ; ; ; ; ;2;16-06-69;1;98;1;2;6;-; ; ; ;5;DeberÌa de entregar medicamentos de calidad (no los mas b·sicos o baratos)faltan muchos especialistas en el sistema publico.no deberÌamos ir particular y pagar para ser atendido con un especialista;102;61; ; ; ;102;61; ; ; ;102;61; ; ; ;5;2;1;1;2;7;-;5;-;2;-;3;-;-;-;-;-;1;Todo el sistema.uno no puede elegir donde operarse.;48; ;2;1;5; ;-;1;4;-;3;-;4;8;8;8;8;8;8;1;1;-;5;2;7;7;8;-;2;-;2;-;77;2;98;-;98;-;98;-;98;-;-;-;4;4;4;4;4;4;4;4;4;4;4;88;-; ;98; ;88;-; ; ;1;9; ; ; ; ;9; ; ; ;9; ; ; ;98; ; ;98; ; ;98; ; ; ; ;98; ; ; ; ;98; ; ; ;98; ;9;18;1;5;Otros;999;999;88;9;2;2;2;1;80;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_VF;2,045365254;13;1;59;3;1;4;4;1;59;1;2;56;1;1;29;1;1;26;1; ; ; ; ; ; ; ; ; ;1;03-10-19;1;4;1;2;1;la atencion no es la adecuada;31; ; ; ;1;no tengo buena cobertura/ y mala atencion;14;31; ; ; ;14;31; ; ; ;14;31; ; ; ;2;3;1;1;2;3;-;9;-;2;-;3;-;-;-;-;-;1;no dan informacion no me llega nada;21; ;2;4;5; ;-;1;4;-;3;-;4;8;8;8;8;8;8;2;-;-;-;2;-;77;1;7;1;1;7;-;6;-;5;-;9;-;-;-;2;1;1;1;2;2;2;2;9;2;2;1;supervisar que se cumpla la  ley de salud;344; ;4; ;99;-; ; ;3;98; ; ; ; ;98; ; ; ;98; ; ; ;98; ; ;98; ; ;98; ; ; ; ;98; ; ; ; ;9; ; ; ;9; ;15;31;2;-;9;3;1;2;1;64;64;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_VF;1,564129379;13;1;56;3;2;3;1;2;56;1; ; ; ; ; ; ; ; ; ;1;12-10-63;1;99;1;2;5;-; ; ; ;4;Se demora muchas horas para l tencion;23; ; ; ;23; ; ; ;23; ; ; ;3;2;4;3;2;7;-;100;-;4;-;8;-;-;-;-;-;1;Mejorar l tencion de demora ara atender y envÌo de informaciÛn;21;11; ;3; ;-;-;2;6;2;1;-;4;8;8;4;5;8;8;2;-;-;-;2;-;77;2;98;-;5;-;6;-;2;-;-;-;4;5;3;4;5;4;3;4;4;5;4;1;Regular q cumplen las isapres y fonasa;365; ;1;2; ;1;Q seamos atendido con dignidad;502; ; ;4;8; ; ; ; ;9; ; ; ;4; ; ; ;98; ; ;8; ; ;98; ; ; ; ;98; ; ; ; ;2; ; ; ;9; ;15;29;2;-;9;3;2;2;2;80;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_REGIONES;0,417516135;10;1;45;2;1;2;1;1;45;2; ; ; ; ; ; ; ; ; ;1;13-06-74;2;1;2;5;-; ; ; ;6;99;98; ; ; ;98; ; ; ;98; ; ; ;6;2;6;6;2;-;-;-;-;99;-;99;-;99;-;99;-;99;no responde;98; ;3; ;-;-;3;-;99;3;3;3;3;3;3;2;-;-;-;99;-;99;99;99;-;99;-;99;-;99;-;99;-;99;-;5;5;6;5;6;6;5;5;6;6;5;99;-; ;4; ;99;-; ; ;6;8; ; ; ; ;8; ; ; ;8; ; ; ;8; ; ;9; ; ;9; ; ; ; ;9; ; ; ; ;9; ; ; ;9; ;8;23;1;99;No responde;999;998;99;9;2;1;1;1;90;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_VF;0,472294141;13;1;63;3;1;3;3;1;63;2;2;62;2;2;45;2; ; ; ; ; ; ; ; ; ;1;23-11-19;2;1;1;6;-; ; ; ;6;Buena covertura de salud;271; ; ; ;271; ; ; ;271; ; ; ;6;3;6;7;2;-;-;-;-;1;-;7;-;100;-;1;-;6;Bajar costos;61; ;2;6;2; ;-;3;1;1;-;1;1;1;5;6;6;7;6;6;1;2;1;5;1;2;-;4;4;5;5;5;4;4;2;-;-;-;5;-;77;1;6;1;1;5;-;5;-;5;-;5;-;4;-;2;-;5;5;5;5;5;5;5;5;4;6;5;1;fiscalizar la salud;342; ;4; ;1;derechos del paciente;531; ; ;6;4; ; ; ; ;3; ; ; ;4; ; ; ;4; ; ;4; ; ;4; ; ; ; ;6;4; ; ; ; ;6;4; ; ; ;4; ;17;32;1;2;MÈdico;5;156;99;9;3;1;2;2;96;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_VF;1,564129379;13;1;68;3;2;6;2;2;28;1;2;68;1; ; ; ; ; ; ; ; ; ;2;11-04-51;1;98;1;2;7;-; ; ; ;6;Buenas atenciÛn;221; ; ; ;221; ; ; ;221; ; ; ;7;1;6;6;2;3;-;6;-;9;-;88;-;-;-;-;-;7;Nada;0; ;3; ;-;-;2;6;1;-;4;3;4;5;4;3;4;2;-;-;-;7;-;77;2;98;-;2;-;98;-;98;-;-;-;6;6;4;4;5;6;6;5;4;5;5;88;-; ;1; ;99;-; ; ;98;2; ; ; ; ;98; ; ; ;2; ; ; ;8; ; ;8; ; ;9; ; ; ; ;98; ; ; ; ;9; ; ; ;98; ;6;3;1;2;Cuidadora;2;75;88;9;3;2;2;1;80;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_VF;0,472294141;13;1;43;2;1;4;3;1;43;2;2;40;2;1;18;2; ; ; ; ; ; ; ; ; ;1;04-05-01;2;1;2;5;-; ; ; ;6;Satisfecho mi plan de cobertura me sale atenciones costo cero;241;271;284; ; ;241;271;284; ; ;241;271;284; ; ;6;1;6;5;2;-;-;-;-;8;-;7;-;10;-;99;-;7;Nada;0; ;1;6;2; ;-;2;4;-;2;6;2;1;3;-;4;4;5;3;3;4;4;2;-;-;-;5;-;77;1;7;1;1;1;-;1;-;1;-;1;-;1;-;2;-;3;1;1;6;2;2;3;2;4;3;2;1;Contralor;341; ;2;1; ;99;-; ; ;6;2;6; ; ; ; ;6;4; ; ; ;6;4; ; ; ;6;4; ; ;6; ; ;6;4; ; ; ; ;6; ; ; ; ;6; ; ; ;6; ;15;33;1;5;No responde;999;998;10;9;2;1;2;2;96;1;1;0;0;1;1;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_VF;0,472294141;13;1;65;3;2;1;1;2;65;2; ; ; ; ; ; ; ; ; ;1;25-10-19;2;1;1;5;-; ; ; ;5;es muy cara la isapre;1; ; ; ;1; ; ; ;1; ; ; ;6;3;7;6;2;-;-;-;-;1;-;6;-;1;-;100;-;6;Los valores altos;61; ;2;5;2; ;-;1;4;-;2;5;1;-;4;3;3;3;4;4;4;2;-;-;-;5;-;77;1;6;1;1;4;-;5;-;5;-;5;-;4;-;1;1;-;5;5;4;2;4;5;5;5;4;4;4;5;1;fiscalizar;341; ;4; ;1;derechos del paciente;531; ; ;6;4; ; ; ; ;4; ; ; ;4; ; ; ;4; ; ;4; ; ;4; ; ; ; ;4; ; ; ; ;4; ; ; ;6; ;17;32;2;-;9;3;2;2;2;96;0;0;0;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_VF;0,606426807;13;1;36;2;1;4;2;1;36;1;2;36;1; ; ; ; ; ; ; ; ; ;1;12-10-84;1;1;1;2;6;-; ; ; ;6;Porque buena atenciÛn;221; ; ; ;221; ; ; ;221; ; ; ;6;1;5;5;2;7;-;4;-;88;-;88;-;-;-;-;-;6;Nada;0; ;2;7;2; ;-;1;4;-;2;6;1;-;4;4;4;3;4;4;4;2;-;-;-;2;-;77;2;2;-;2;-;98;-;98;-;-;-;4;4;4;4;5;4;6;5;4;5;5;88;-; ;1; ;88;-; ; ;6;99; ; ; ; ;2; ; ; ;98; ; ; ;98; ; ;98; ; ;98; ; ; ; ;2; ; ; ; ;2; ; ; ;2; ;9;17;1;1;Obrero;2;162;99;9;2;1;2;2;16;16;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;0;0;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_VF;0,472294141;13;1;26;1;1;3;2;1;26;2;2;27;2; ; ; ; ; ; ; ; ; ;1;11-05-93;2;1;2;6;-; ; ; ;6;Buenas atenciones, es seguro porque de atiende en forma r·pida;208;221;222; ; ;208;221;222; ; ;208;221;222; ; ;5;1;5;6;2;-;-;-;-;2;-;4;-;7;-;88;-;6;Nada;0; ;2;5;2; ;-;1;4;-;2;5;1;3;2;-;4;5;4;5;4;5;5;2;-;-;-;5;-;77;2;1;-;1;-;1;-;1;-;1;-;2;-;5;6;6;6;6;6;5;6;6;6;6;88;-; ;1;2; ;88;-; ; ;6;6; ; ; ; ;2; ; ; ;98; ; ; ;98; ; ;6; ; ;6; ; ; ; ;6; ; ; ; ;6; ; ; ;6; ;13;28;1;2;Microempresario;3;157;8;9;1;1;2;2;96;1;1;1;1;1;1;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_REGIONES;0,134274895;16;1;44;2;1;3;3;1;44;2;2;42;1;2;12;1; ; ; ; ; ; ; ; ; ;1;20-06-75;2;1;2;4;Por que isapre no cubre todo y tampoco se puede ir a los servicios publicos;14; ; ; ;4;Por que el sistema es muy malo para todos;111; ; ; ;111; ; ; ;111; ; ; ;3;3;1;3;2;-;-;-;-;1;-;9;-;4;-;6;-;2;Porque no son claros y siempre ocultan informacion;21; ;2;5;2; ;-;2;4;-;2;5;1;-;4;2;3;3;2;3;3;2;-;-;-;5;-;77;1;5;1;1;5;-;6;-;98;-;5;-;4;-;2;-;5;3;1;3;4;4;3;2;1;1;1;1;Ver los derechos de la salud de todos los chilenos;334; ;4; ;1;Lod derechos de recibir una atencion digna;502; ; ;3;4; ; ; ; ;9; ; ; ;4; ; ; ;98; ; ;98; ; ;4; ; ; ; ;9; ; ; ; ;98; ; ; ;9; ;13;28;1;4;Administrador;4;6;8;9;2;1;1;2;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_VF;0,472294141;13;1;71;3;2;5;4;2;71;2;1;70;2;2;45;2;2;47;2; ; ; ; ; ; ; ; ; ;1;17-10-48;2;1;2;7;-; ; ; ;7;Por que la isapre que tengo cumple con mis necesidadaes;207; ; ; ;207; ; ; ;207; ; ; ;7;2;7;7;1;2;2;2;2;2;2;2;-;-;-;-;4;-;5;-;1;-;100;-;6;Bajar quiz·s un poco sus valores;61; ;1;7;98; ;-;2;1;1;-;1;1;1;7;7;7;7;7;7;1;2;2;7;1;2;-;4;5;5;5;5;5;5;2;-;-;-;4;-;77;1;7;1;1;1;-;5;-;5;-;1;-;41;#NOMBRE?;2;-;5;5;5;5;5;8;5;5;5;5;5;1;fiscalizar y resguardar el bienestar del paciente;346; ;1;2; ;1;tener una buena atenciÛn sin pasar a llevar los derechos del paciente;531;501; ; ;5;2; ; ; ; ;8; ; ; ;6; ; ; ;6; ; ;6; ; ;6; ; ; ; ;8; ; ; ; ;2; ; ; ;6; ;9;18;2;-;9;3;2;2;2;96;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_VF;0,472294141;13;1;51;2;2;5;4;2;51;2;1;52;2;2;23;2;2;19;2; ; ; ; ; ; ; ; ; ;1;30-04-01;2;1;1;5;-; ; ; ;5;Porque me cubre bastante la salud como medicamentos;14;11; ; ; ;14;11; ; ; ;14;11; ; ; ;6;1;6;6;2;-;-;-;-;4;-;7;-;1;-;10;-;5;El alto costo de los bonos;62; ;2;6;1; ;-;2;4;-;2;5;1;2;-;4;4;4;5;3;3;3;2;-;-;-;4;-;77;1;6;1;1;1;-;1;-;1;-;1;-;1;-;1;3;-;7;5;6;6;6;6;5;5;4;6;4;4;1;Fiscalizar el mal cumplimientos de las poticica de salud a los usuarios;344; ;1;2; ;88;-; ; ;5;2; ; ; ; ;5; ; ; ;4; ; ; ;5; ; ;2; ; ;4;2; ; ; ; ;6; ; ; ; ;4;6; ; ; ;6;4; ;13;28;2;-;9;2;2;2;1;96;1;1;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_VF;0,472294141;13;1;40;2;1;2;2;1;40;2;1;66;2; ; ; ; ; ; ; ; ; ;1;15-05-01;2;1;2;5;-; ; ; ;5;Es un sistema que es seguro r·pido y completo;202; ; ; ;202; ; ; ;202; ; ; ;5;2;6;5;2;-;-;-;-;7;-;4;-;5;-;10;-;5;Que hayan m·s centros mÈdicos afiliados;53; ;2;5;6; ;-;1;4;-;2;4;2;1;-;4;4;3;4;3;3;3;2;-;-;-;4;-;77;2;1;-;1;-;1;-;1;-;1;-;2;-;2;2;3;3;3;2;2;3;2;3;2;88;-; ;2;1; ;88;-; ; ;4;4; ; ; ; ;4; ; ; ;4;6; ; ; ;4;6; ; ;4; ; ;4;6; ; ; ; ;6;4; ; ; ; ;4; ; ; ;4;6; ;13;28;2;-;9;2;1;2;2;96;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
